DO_ID	ORPHANET_ID
DOID:0060434	217340
DOID:0060433	261272
DOID:0060447	98956
DOID:0060446	293621
DOID:0060449	98957
DOID:0060448	98970
DOID:0060445	101068
DOID:0060444	98963
DOID:0060457	98973
DOID:0060459	251038
DOID:0060450	98955
DOID:0060452	98971
DOID:0060451	98954
DOID:0060454	98959
DOID:0060453	98961
DOID:0060456	98967
DOID:0060455	98960
DOID:0060469	531
DOID:0060468	392
DOID:0060461	217377
DOID:0060460	329802
DOID:0060462	1425
DOID:0060465	2021
DOID:0060464	1305
DOID:0060467	3265
DOID:0060466	2024
DOID:0060470	370938
DOID:0060472	306539
DOID:0060471	1906
DOID:0060474	238557
DOID:0060473	2322
DOID:0060476	2849
DOID:0060481	66629
DOID:0060480	54260
DOID:0060483	171851
DOID:0060482	157962
DOID:0060485	2152
DOID:0060484	199343
DOID:0060486	178509
DOID:0060488	2896
DOID:0060490	1830
DOID:0060491	320406
DOID:963	211062
DOID:11193	295012
DOID:11193	90025
DOID:11193	93402
DOID:11193	93403
DOID:11193	93404
DOID:11193	93406
DOID:11199	2238
DOID:1338	85
DOID:1339	124
DOID:2754	369
DOID:905	912
DOID:2717	125
DOID:2729	1775
DOID:2738	758
DOID:0060403	97685
DOID:0060405	261279
DOID:0060404	261265
DOID:0060407	1600
DOID:0060406	1598
DOID:0060409	401986
DOID:0060408	217346
DOID:0060400	261211
DOID:0060413	261330
DOID:0060415	261349
DOID:0060418	1621
DOID:0060417	1620
DOID:0060419	65286
DOID:0060410	1606
DOID:0060412	250999
DOID:0060411	250989
DOID:0060425	284160
DOID:0060424	251056
DOID:0060427	261476
DOID:0060428	251019
DOID:0060420	238750
DOID:0060422	96125
DOID:0060556	306674
DOID:0060559	1486
DOID:0060558	294965
DOID:0060551	221046
DOID:0060550	920
DOID:0060567	90000
DOID:0060560	137783
DOID:0060565	7
DOID:0060571	7
DOID:0060572	7
DOID:0060574	166081
DOID:12347	666
DOID:0060597	98824
DOID:0060599	627
DOID:8712	636
DOID:8712	637
DOID:8712	93921
DOID:13636	84
DOID:2580	177
DOID:1270	774
DOID:3883	144
DOID:12387	223
DOID:3981	157850
DOID:13608	30391
DOID:0060535	280558
DOID:0060537	3208
DOID:0060536	2609
DOID:0060549	1231
DOID:9952	513
DOID:10908	2182
DOID:10908	2185
DOID:1156	1416
DOID:14464	94093
DOID:3753	231531
DOID:3753	231537
DOID:3753	280663
DOID:3753	79430
DOID:14450	243
DOID:13099	2573
DOID:13099	280679
DOID:13099	401945
DOID:10825	243761
DOID:3827	2140
DOID:0050489	276399
DOID:0050475	3449
DOID:13087	844
DOID:0080200	1848
DOID:0050471	1359
DOID:6039	39044
DOID:0050466	60030
DOID:0050453	102009
DOID:0050451	130
DOID:0050454	98892
DOID:0050448	171723
DOID:0050439	886
DOID:0050431	217656
DOID:0050431	247
DOID:0050430	247698
DOID:0050434	37553
DOID:0050432	1162
DOID:0050428	2337
DOID:0050427	910
DOID:10892	440
DOID:1062	3337
DOID:1064	213
DOID:2394	213517
DOID:2352	139498
DOID:1024	548
DOID:2340	1531
DOID:1040	67038
DOID:2373	288
DOID:3649	79243
DOID:4969	221117
DOID:3635	590
DOID:4990	862
DOID:3652	506
DOID:14330	2828
DOID:0050597	1247
DOID:0050592	474
DOID:0050591	2227
DOID:0050591	99798
DOID:0050590	486
DOID:0050590	86788
DOID:0050588	370953
DOID:0050581	294937
DOID:0050580	79452
DOID:8567	98293
DOID:0050572	1872
DOID:0050576	3156
DOID:0050569	808
DOID:0050568	1797
DOID:0050568	2311
DOID:0050566	90625
DOID:0050565	90636
DOID:0050564	90635
DOID:0050559	272
DOID:0050557	97242
DOID:0050541	64749
DOID:0050545	450
DOID:0050542	64747
DOID:0050535	891
DOID:0050539	64746
DOID:0050534	215
DOID:0110640	157973
DOID:0110637	98894
DOID:0110636	258
DOID:0050524	552
DOID:0110635	52428
DOID:0110634	98893
DOID:0110633	324604
DOID:0110633	84132
DOID:0110633	97244
DOID:0110632	280671
DOID:0110631	1155
DOID:0110639	34520
DOID:8545	423
DOID:0050629	51
DOID:0050628	164736
DOID:0110814	401805
DOID:0110813	401785
DOID:0110812	401780
DOID:0110811	100988
DOID:0110810	100986
DOID:0110819	468661
DOID:0110818	444099
DOID:0110817	401849
DOID:0110816	99013
DOID:0110815	401810
DOID:0110803	280763
DOID:0110802	280763
DOID:0110801	320385
DOID:0110800	306511
DOID:0110809	431329
DOID:0110808	320411
DOID:0110807	320375
DOID:0110806	320380
DOID:0110805	319199
DOID:0110804	280763
DOID:0060023	101090
DOID:0060025	69127
DOID:4890	862
DOID:2224	3318
DOID:2224	71493
DOID:0060055	1300
DOID:0060055	294963
DOID:0060062	209886
DOID:0060062	217330
DOID:2214	98429
DOID:2217	274
DOID:14686	782
DOID:2219	849
DOID:0110799	280763
DOID:0110798	320391
DOID:0110797	320396
DOID:0110796	320401
DOID:0110795	320370
DOID:0110794	171863
DOID:0110793	320355
DOID:0110792	100985
DOID:0110791	100984
DOID:0110790	139480
DOID:0110789	171617
DOID:0110788	171612
DOID:0110787	320365
DOID:0110786	171629
DOID:0110785	171607
DOID:3614	478
DOID:0110740	397725
DOID:0110737	157846
DOID:0110734	385
DOID:0110733	228357
DOID:0110732	314629
DOID:0110731	228346
DOID:0110730	228340
DOID:0110739	329284
DOID:0110738	289560
DOID:0110726	228349
DOID:0110725	228337
DOID:0110724	1947
DOID:0110723	228354
DOID:0110722	228366
DOID:0110721	228329
DOID:0110720	228343
DOID:0050699	1652
DOID:0110729	228363
DOID:0110728	228360
DOID:0110727	352709
DOID:0050690	1293
DOID:7147	825
DOID:0050681	127
DOID:8461	50
DOID:0110783	171622
DOID:0110782	101011
DOID:0110781	101010
DOID:0110780	101009
DOID:0110779	101008
DOID:0110778	101007
DOID:0110777	101006
DOID:0110776	101005
DOID:0110775	101004
DOID:0110774	101003
DOID:0050661	1243
DOID:0050661	99000
DOID:0110773	99015
DOID:0110772	100999
DOID:0110771	209951
DOID:0110770	100998
DOID:0110769	100997
DOID:0110768	100996
DOID:0110767	100995
DOID:0110766	100994
DOID:0110765	100993
DOID:0110764	2822
DOID:0110763	100991
DOID:0050651	98722
DOID:0050650	334
DOID:0050654	1223
DOID:0050647	1187
DOID:0050646	1147
DOID:0050646	97120
DOID:0050644	51608
DOID:0050635	2131
DOID:0050639	137807
DOID:0050632	55
DOID:0050747	33226
DOID:2187	88661
DOID:0050713	1561
DOID:0110938	53
