DO_ID	ICD10CM_ID
DOID:96	A05.0
DOID:93	F80.9
DOID:5213	G61.81
DOID:6543	L70
DOID:6543	L70.2
DOID:6543	L70.9
DOID:10159	M87
DOID:10159	M87.9
DOID:11488	G90.0
DOID:11488	G90.09
DOID:678	G23.1
DOID:676	M08.4
DOID:676	M08.40
DOID:11491	H53.62
DOID:682	T79.A0
DOID:681	G12.22
DOID:687	C22.2
DOID:7894	B88.0
DOID:7894	B88.9
DOID:12797	F16.1
DOID:12798	E76.3
DOID:12799	E76.1
DOID:10131	F52.5
DOID:11472	C32.2
DOID:7848	C96.4
DOID:10126	H18.6
DOID:10126	H18.60
DOID:10124	H18.9
DOID:11476	M81.0
DOID:10122	H02.71
DOID:11486	G90.2
DOID:10113	B57.2
DOID:10155	C26.0
DOID:10154	C17
DOID:10154	C17.9
DOID:10153	C17.2
DOID:10151	C40.3
DOID:5204	E74.19
DOID:5200	N13.9
DOID:10149	C40.2
DOID:12783	G43.0
DOID:12783	G43.009
DOID:11457	G93.5
DOID:10141	H53.14
DOID:11459	G93.2
DOID:10140	H04.12
DOID:10139	H11.10
DOID:10138	E50.7
DOID:10138	H04.12
DOID:0110061	K00.5
DOID:0110060	K00.5
DOID:615	D72.819
DOID:614	D72.810
DOID:612	D84.9
DOID:0110066	K00.5
DOID:0110065	K00.5
DOID:0110064	K00.5
DOID:0110063	K00.5
DOID:0110062	K00.5
DOID:0110059	K00.5
DOID:626	D80-D89
DOID:626	D84.1
DOID:624	D80.7
DOID:0110058	K00.5
DOID:0110057	K00.5
DOID:0110056	K00.5
DOID:0110055	K00.5
DOID:0110054	K00.5
DOID:0110053	K00.5
DOID:0110052	K00.5
DOID:628	D81
DOID:628	D81.9
DOID:0110048	G30
DOID:0110047	G30
DOID:0110046	G30
DOID:0110045	G30
DOID:0110044	G30
DOID:0110043	G30
DOID:0110041	G30
DOID:0110039	G30
DOID:0110038	G30
DOID:0110037	G30
DOID:0110035	G30
DOID:0110031	D56.0
DOID:0110030	D56.0
DOID:607	G82.2
DOID:607	G82.20
DOID:606	G83.81
DOID:0110029	D56.0
DOID:653	E79.8
DOID:660	C74.0
DOID:0110094	Q77.2
DOID:0110093	Q77.2
DOID:0110092	Q77.2
DOID:0110091	Q77.2
DOID:0110091	Q87.5
DOID:0110090	Q77.2
DOID:0110097	Q87.5
DOID:0110096	Q04.3
DOID:0110095	Q77.2
DOID:674	Q35
DOID:674	Q35.9
DOID:1699	Q80.2
DOID:672	C26.1
DOID:0110083	I42.8
DOID:0110082	I42.8
DOID:0110081	I42.8
DOID:636	G37.2
DOID:0110080	H35.5
DOID:635	B20
DOID:633	G72.49
DOID:633	M60
DOID:633	M60.9
DOID:631	M79.1
DOID:631	M79.7
DOID:0110089	Q77.2
DOID:0110088	Q77.2
DOID:0110087	Q77.2
DOID:0110086	Q77.2
DOID:0110085	Q77.2
DOID:0110084	I42.8
DOID:0110072	I42.8
DOID:649	A81.9
DOID:0110071	I42.8
DOID:648	A81.81
DOID:0110070	I42.8
DOID:0110070	Q24.8
DOID:643	A81.2
DOID:0110079	H35.5
DOID:0110078	H35.5
DOID:0110077	I42.8
DOID:0110076	I42.8
DOID:0110075	I42.8
DOID:0110074	I42.8
DOID:0110073	I42.8
DOID:1781	C73
DOID:1785	C75.1
DOID:1788	C45.1
DOID:1770	K59.3
DOID:0060902	Q04.3
DOID:0060901	C88.0
DOID:1793	C25.0
DOID:1793	C25.1
DOID:1793	C25.2
DOID:1799	C25.4
DOID:1799	D13.7
DOID:1798	C25.4
DOID:0060911	N11.8
DOID:0110016	H35.5
DOID:1729	H34
DOID:1729	H34.9
DOID:0110005	H35.5
DOID:0110004	E71.1
DOID:1733	A07.2
DOID:1731	B39
DOID:1731	B39.9
DOID:0110002	E71.1
DOID:0110001	E71.1
DOID:0110000	E71.1
DOID:1762	K13.0
DOID:1761	G51.2
DOID:1766	F68.11
DOID:1768	F44
DOID:1756	G51
DOID:1756	G51.9
DOID:1759	B39.4
DOID:12753	H18.72
DOID:11424	N80.2
DOID:11428	N80.5
DOID:12759	C69.3
DOID:11429	N80.3
DOID:1700	Q80.1
DOID:11430	N80.6
DOID:11431	N80.4
DOID:1703	C91.1
DOID:11432	N80.1
DOID:1702	Q80.0
DOID:5295	K63.9
DOID:10112	B56
DOID:10112	B56.9
DOID:11400	N10-N16
DOID:11400	N12
DOID:11400	N16
DOID:12731	H30.2
DOID:12733	K03.4
DOID:12735	N83.4
DOID:11406	H30.9
DOID:1726	H34.82
DOID:1725	C48.1
DOID:1724	K26
DOID:1712	I06.0
DOID:1712	Q23.0
DOID:12750	A07.4
DOID:1713	G25.83
DOID:12711	B36.3
DOID:12712	Q61.5
DOID:12714	Q77.6
DOID:12716	P22.0
DOID:6590	M46
DOID:12720	I67.2
DOID:12700	E22.1
DOID:12707	G11.1
DOID:12236	K74.3
DOID:12236	K74.5
DOID:12239	C44.520
DOID:0090093	E23.0
DOID:0090092	E23.0
DOID:0090091	Q56.1
DOID:0090090	E23.0
DOID:0090086	E23.0
DOID:0090085	E23.0
DOID:0090084	E23.0
DOID:0090083	E23.0
DOID:6432	I27.2
DOID:0090089	E23.0
DOID:0090088	E23.6
DOID:7765	H35.02
DOID:7765	H35.07
DOID:0090087	E23.0
DOID:12241	D56.1
DOID:13576	O43.02
DOID:13576	O43.029
DOID:13579	E40
DOID:0090082	E23.0
DOID:0090081	E23.0
DOID:0090080	E23.0
DOID:0090075	23.0
DOID:0090074	E23.0
DOID:0090073	E23.0
DOID:0090072	E23.0
DOID:0090079	E23.0
DOID:0090078	E23.0
DOID:0090077	E23.0
DOID:13580	K83.1
DOID:0090076	E23.0
DOID:13585	M27.3
DOID:12257	E27.5
DOID:0060216	H16.32
DOID:0060215	G31.81
DOID:0060215	G37.0
DOID:12215	O41.0
DOID:12215	O41.00
DOID:0060218	M34.1
DOID:13548	G21
DOID:13548	G21.9
DOID:12217	G31.83
DOID:13549	H40.23
DOID:0050848	G47.3
DOID:0050848	G47.30
DOID:12225	M67.5
DOID:0060229	Q87.0
DOID:0060228	I60.7
DOID:0060221	Q78.4
DOID:0060223	R48.8
DOID:0060222	E76.0
DOID:0060225	Q87.8
DOID:0060224	I48
DOID:0050835	G24.1
DOID:0050835	G24.2
DOID:0090094	E23.0
DOID:13560	D25.2
DOID:13561	H47.32
DOID:13564	B44
DOID:13564	B44.9
DOID:5119	N83.2
DOID:12234	K31.2
DOID:13523	B74.3
DOID:0060239	Q38.0
DOID:0060232	Q87.0
DOID:0060231	M21.8
DOID:0060233	Q87.8
DOID:0050826	I07
DOID:0050826	I07.9
DOID:0050820	I44.3
DOID:0050820	I44.30
DOID:13533	Q78.2
DOID:0060249	M41
DOID:0060249	M41.9
DOID:12205	A90
DOID:12206	A91
DOID:0060243	F80.81
DOID:0060245	G11.4
DOID:0060246	G11.4
DOID:0050811	E25
DOID:0050811	E25.9
DOID:12211	B74.0
DOID:13544	H40.12
DOID:13543	E21.3
DOID:13501	Q87.0
DOID:13507	N30.3
DOID:0060254	Q87.1
DOID:0060261	Q10.0
DOID:0060260	H02.4
DOID:0060260	H02.40
DOID:0060260	H02.409
DOID:6419	Q21.3
DOID:13515	Q85.1
DOID:0060263	Q04.6
DOID:0060262	K82.9
DOID:0060270	Q04.3
DOID:13520	P39.0
DOID:6406	Q20.1
DOID:13521	A33
DOID:0060276	Q04.3
DOID:0060278	Q04.3
DOID:0060277	Q04.3
DOID:0060281	G40.8
DOID:0060283	Q80.8
DOID:0060284	D59.1
DOID:0060284	D59.5
DOID:0060284	D59.6
DOID:0060287	Q13.4
DOID:0060292	Q77.3
DOID:0060293	Q77.3
DOID:0060295	D84.1
DOID:0060298	D84.1
DOID:0060297	D84.1
DOID:0060299	D84.1
DOID:1583	A15.5
DOID:1586	I00
DOID:1586	I00-I02
DOID:12282	I80.1
DOID:1588	D69.6
DOID:12287	A98.0
DOID:1572	G91.2
DOID:1570	H02.1
DOID:1570	H02.10
DOID:1570	H02.109
DOID:1574	F10.1
DOID:1573	G91.0
DOID:12294	F32.8
DOID:1579	J96-J99
DOID:1579	J98
DOID:1578	M34.81
DOID:12297	H20.82
DOID:12297	H30.81
DOID:12259	D67
DOID:13589	N97.2
DOID:13593	O15
DOID:13593	O15.9
DOID:12265	N70.1
DOID:12265	N70.13
DOID:1591	I15.0
DOID:12270	Q13.0
DOID:1596	F32.9
DOID:1596	F33.9
DOID:12271	Q13.1
DOID:12273	H52.31
DOID:12275	A36.3
DOID:12276	C62.0
DOID:2998	C62
DOID:2998	C62.9
