DO_ID	MESH_ID
DOID:0060457	C562745
DOID:0060459	C567626
DOID:0060450	C567588
DOID:0060452	C567546
DOID:0060451	D053559
DOID:0060454	C567547
DOID:0060453	C535476
DOID:0060456	C535475
DOID:0060455	C535942
DOID:12466	D006962
DOID:0060468	C535326
DOID:8861	D011662
DOID:0060462	C535943
DOID:0060465	C562524
DOID:0060464	C537734
DOID:0060466	C562884
DOID:6204	D000236
DOID:8869	D009471
DOID:8866	D055623
DOID:8867	D008976
DOID:8864	D007948
DOID:11103	D012288
DOID:0060479	C537330
DOID:11105	C562733
DOID:13768	D009889
DOID:13767	D003003
DOID:0060472	C536321
DOID:0060471	C536525
DOID:0060473	C537705
DOID:0060476	C536399
DOID:0060478	D000071243
DOID:0060481	C537279
DOID:11111	D006869
DOID:13774	D000224
DOID:13777	D004819
DOID:13778	D002602
DOID:12449	D000741
DOID:11119	D005879
DOID:0060482	C567416
DOID:0060485	C536990
DOID:0060484	C557674
DOID:0060486	C566822
DOID:0060488	C537403
DOID:0060490	C536629
DOID:0060491	C563702
DOID:12450	D010198
DOID:12451	D013436
DOID:11121	D011671
DOID:11123	D011695
DOID:8805	D000789
DOID:13757	D007766
DOID:11100	D011778
DOID:11101	D014205
DOID:11102	D001474
DOID:1381	D005588
DOID:1380	D016889
DOID:1383	D013543
DOID:1382	D008883
DOID:1389	D011115
DOID:1388	D013631
DOID:1387	D007009
DOID:1386	D000012
DOID:980	C535358
DOID:988	D008945
DOID:987	D000505
DOID:986	D000506
DOID:992	D006481
DOID:990	C535758
DOID:950	D003607
DOID:963	C580065
DOID:962	D009455
DOID:1392	C562401
DOID:1391	D007863
DOID:1390	D006995
DOID:1394	D012553
DOID:971	D052256
DOID:970	D013717
DOID:1340	D012010
DOID:2671	D002295
DOID:1343	D014526
DOID:11193	D013576
DOID:1342	D029502
DOID:11198	D004062
DOID:11199	D007011
DOID:2661	D009208
DOID:2664	D013544
DOID:1338	D000742
DOID:2668	D008637
DOID:1339	D029503
DOID:999	D004802
DOID:999	D017681
DOID:998	D016603
DOID:997	D019687
DOID:2691	D009214
DOID:2696	D007984
DOID:11175	D015841
DOID:1352	D010254
DOID:2683	D000232
DOID:1350	D010255
DOID:1358	D008444
DOID:2689	C537491
DOID:2689	D008204
DOID:2752	D006009
DOID:2751	D006015
DOID:2750	D006011
DOID:1426	D014515
DOID:2755	D015270
DOID:2754	D006013
DOID:900	D020065
DOID:906	D018901
DOID:905	D015211
DOID:2742	D004427
DOID:2741	D006932
DOID:2741	D006933
DOID:1415	D015799
DOID:2746	D006012
DOID:2745	D010554
DOID:2744	D011702
DOID:1412	D001437
DOID:2749	D005953
DOID:1417	D015862
DOID:2748	D006010
DOID:2747	D006008
DOID:1440	D017827
DOID:2770	D003963
DOID:2775	C562741
DOID:1442	D002549
DOID:2773	D003877
DOID:1441	D020754
DOID:2772	D017453
DOID:2776	D050398
DOID:2768	D013981
DOID:1439	D011776
DOID:2769	D013981
DOID:934	D001102
DOID:934	D014777
DOID:2708	D005203
DOID:931	D008989
DOID:930	D009916
DOID:936	D001927
DOID:2712	D010688
DOID:2710	D018877
DOID:2717	D001816
DOID:946	D004030
DOID:2702	D013586
DOID:2703	D013585
DOID:913	D020966
DOID:2729	D019871
DOID:914	D010382
DOID:1400	D007766
DOID:2731	D012872
DOID:2730	D004820
DOID:2734	D007644
DOID:2732	D011038
DOID:2739	D005878
